time elapsed: 55.4248 seconds

=================================

sim results:

number of photons = 10000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00417 	 7.684e-01 	 1.529e-01 	 2.779e-01 
0.01250 	 8.280e-02 	 1.513e-01 	 2.755e-01 
0.02083 	 1.834e-02 	 1.601e-01 	 2.763e-01 
0.02917 	 1.617e-02 	 1.589e-01 	 2.784e-01 
0.03750 	 2.042e-02 	 1.550e-01 	 2.655e-01 
0.04583 	 8.880e-04 	 1.520e-01 	 2.789e-01 
0.05417 	 2.835e-03 	 1.661e-01 	 2.646e-01 
0.06250 	 9.051e-03 	 1.484e-01 	 2.716e-01 
0.07083 	 5.577e-03 	 1.521e-01 	 2.757e-01 
0.07917 	 3.079e-03 	 1.600e-01 	 2.808e-01 
0.08750 	 1.241e-02 	 1.588e-01 	 2.844e-01 
0.09583 	 6.114e-03 	 1.654e-01 	 2.694e-01 
0.10417 	 5.116e-03 	 1.676e-01 	 2.840e-01 
0.11250 	 6.932e-03 	 1.505e-01 	 2.724e-01 
0.12083 	 6.896e-03 	 1.447e-01 	 2.713e-01 
0.12917 	 8.366e-03 	 1.551e-01 	 2.762e-01 
0.13750 	 7.112e-03 	 1.694e-01 	 2.665e-01 
0.14583 	 1.246e-02 	 1.649e-01 	 2.669e-01 
0.15417 	 7.946e-03 	 1.587e-01 	 2.539e-01 
0.16250 	 9.871e-03 	 1.676e-01 	 2.705e-01 
0.17083 	 7.326e-03 	 1.694e-01 	 2.720e-01 
0.17917 	 8.330e-03 	 1.621e-01 	 2.780e-01 
0.18750 	 8.284e-03 	 1.628e-01 	 2.729e-01 
0.19583 	 9.112e-03 	 1.638e-01 	 2.691e-01 
0.20417 	 9.360e-03 	 1.699e-01 	 2.809e-01 
0.21250 	 1.069e-02 	 1.617e-01 	 2.835e-01 
0.22083 	 1.012e-02 	 1.665e-01 	 3.048e-01 
0.22917 	 1.218e-02 	 1.686e-01 	 2.797e-01 
0.23750 	 7.669e-03 	 1.650e-01 	 2.777e-01 
0.24583 	 1.039e-02 	 1.683e-01 	 2.809e-01 
0.25417 	 1.052e-02 	 1.724e-01 	 2.764e-01 
0.26250 	 1.060e-02 	 1.618e-01 	 2.863e-01 
0.27083 	 1.122e-02 	 1.785e-01 	 2.839e-01 
0.27917 	 9.553e-03 	 1.792e-01 	 2.736e-01 
0.28750 	 1.010e-02 	 1.738e-01 	 2.819e-01 
0.29583 	 1.108e-02 	 1.812e-01 	 2.971e-01 
0.30417 	 1.391e-02 	 1.868e-01 	 2.958e-01 
0.31250 	 1.327e-02 	 1.783e-01 	 3.041e-01 
0.32083 	 9.355e-03 	 1.842e-01 	 3.117e-01 
0.32917 	 1.035e-02 	 1.817e-01 	 3.054e-01 
0.33750 	 1.337e-02 	 1.820e-01 	 3.018e-01 
0.34583 	 1.064e-02 	 1.932e-01 	 3.135e-01 
0.35417 	 1.437e-02 	 1.862e-01 	 2.998e-01 
0.36250 	 1.308e-02 	 1.768e-01 	 3.142e-01 
0.37083 	 1.197e-02 	 1.784e-01 	 3.185e-01 
0.37917 	 1.116e-02 	 1.837e-01 	 3.233e-01 
0.38750 	 1.115e-02 	 1.938e-01 	 3.315e-01 
0.39583 	 1.395e-02 	 1.900e-01 	 3.368e-01 
0.40417 	 1.418e-02 	 1.792e-01 	 3.330e-01 
0.41250 	 1.237e-02 	 1.856e-01 	 3.322e-01 
0.42083 	 1.038e-02 	 1.978e-01 	 3.413e-01 
0.42917 	 1.208e-02 	 1.937e-01 	 3.492e-01 
0.43750 	 1.154e-02 	 1.880e-01 	 3.563e-01 
0.44583 	 1.142e-02 	 1.899e-01 	 3.520e-01 
0.45417 	 1.178e-02 	 1.943e-01 	 3.589e-01 
0.46250 	 1.473e-02 	 1.983e-01 	 3.595e-01 
0.47083 	 1.374e-02 	 1.973e-01 	 3.605e-01 
0.47917 	 1.219e-02 	 1.948e-01 	 3.684e-01 
0.48750 	 1.183e-02 	 1.911e-01 	 3.533e-01 
0.49583 	 1.238e-02 	 1.944e-01 	 3.743e-01 
0.50417 	 1.327e-02 	 1.965e-01 	 3.757e-01 
0.51250 	 1.333e-02 	 1.989e-01 	 3.815e-01 
0.52083 	 1.338e-02 	 1.978e-01 	 3.723e-01 
0.52917 	 1.167e-02 	 2.013e-01 	 3.605e-01 
0.53750 	 1.326e-02 	 2.017e-01 	 3.842e-01 
0.54583 	 1.452e-02 	 1.967e-01 	 3.863e-01 
0.55417 	 1.401e-02 	 2.040e-01 	 3.847e-01 
0.56250 	 1.333e-02 	 2.029e-01 	 3.878e-01 
0.57083 	 1.307e-02 	 2.053e-01 	 3.932e-01 
0.57917 	 1.343e-02 	 2.078e-01 	 3.908e-01 
0.58750 	 1.331e-02 	 2.043e-01 	 4.075e-01 
0.59583 	 1.361e-02 	 2.156e-01 	 4.080e-01 
0.60417 	 1.416e-02 	 2.106e-01 	 4.244e-01 
0.61250 	 1.343e-02 	 2.075e-01 	 4.455e-01 
0.62083 	 1.471e-02 	 2.128e-01 	 4.322e-01 
0.62917 	 1.391e-02 	 2.186e-01 	 4.363e-01 
0.63750 	 1.351e-02 	 2.169e-01 	 4.401e-01 
0.64583 	 1.397e-02 	 2.176e-01 	 4.564e-01 
0.65417 	 1.523e-02 	 2.205e-01 	 4.656e-01 
0.66250 	 1.458e-02 	 2.204e-01 	 4.574e-01 
0.67083 	 1.472e-02 	 2.243e-01 	 4.743e-01 
0.67917 	 1.420e-02 	 2.305e-01 	 4.734e-01 
0.68750 	 1.552e-02 	 2.237e-01 	 4.871e-01 
0.69583 	 1.500e-02 	 2.235e-01 	 4.752e-01 
0.70417 	 1.632e-02 	 2.273e-01 	 4.880e-01 
0.71250 	 1.456e-02 	 2.311e-01 	 4.873e-01 
0.72083 	 1.293e-02 	 2.318e-01 	 5.037e-01 
0.72917 	 1.500e-02 	 2.362e-01 	 5.026e-01 
0.73750 	 1.471e-02 	 2.431e-01 	 5.082e-01 
0.74583 	 1.547e-02 	 2.363e-01 	 5.226e-01 
0.75417 	 1.457e-02 	 2.409e-01 	 5.193e-01 
0.76250 	 1.401e-02 	 2.494e-01 	 5.287e-01 
0.77083 	 1.352e-02 	 2.443e-01 	 5.516e-01 
0.77917 	 1.460e-02 	 2.595e-01 	 5.487e-01 
0.78750 	 1.503e-02 	 2.544e-01 	 5.591e-01 
0.79583 	 1.599e-02 	 2.624e-01 	 5.526e-01 
0.80417 	 1.559e-02 	 2.612e-01 	 6.011e-01 
0.81250 	 1.428e-02 	 2.591e-01 	 5.698e-01 
0.82083 	 1.482e-02 	 2.632e-01 	 5.895e-01 
0.82917 	 1.453e-02 	 2.749e-01 	 6.025e-01 
0.83750 	 1.512e-02 	 2.638e-01 	 5.959e-01 
0.84583 	 1.568e-02 	 2.775e-01 	 5.917e-01 
0.85417 	 1.603e-02 	 2.678e-01 	 6.159e-01 
0.86250 	 1.644e-02 	 2.760e-01 	 5.953e-01 
0.87083 	 1.726e-02 	 2.833e-01 	 6.274e-01 
0.87917 	 1.564e-02 	 2.781e-01 	 6.240e-01 
0.88750 	 1.668e-02 	 2.884e-01 	 6.357e-01 
0.89583 	 1.622e-02 	 3.024e-01 	 6.449e-01 
0.90417 	 1.711e-02 	 3.041e-01 	 6.535e-01 
0.91250 	 1.819e-02 	 3.083e-01 	 6.563e-01 
